SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1384281,355157,Cash loans,30249.54,369367.335,419258.835,,369367.335,SATURDAY,11,Y,1,,,,XNA,Approved,-917,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash Street: middle,365243.0,-887.0,-377.0,-400.0,-398.0,1.0
1065578,144116,Cash loans,,0.0,0.0,,,FRIDAY,10,Y,1,,,,XNA,Canceled,-458,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1277462,188591,Cash loans,25723.125,315000.0,383355.0,,315000.0,MONDAY,18,Y,1,,,,XNA,Approved,-847,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,low_normal,Cash X-Sell: low,365243.0,-817.0,-307.0,-367.0,-365.0,1.0
2835800,216929,Cash loans,21839.625,450000.0,512370.0,,450000.0,THURSDAY,9,Y,1,,,,XNA,Approved,-587,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low,,,,,,
2317327,106035,Consumer loans,12072.195,62713.8,59206.5,6301.8,62713.8,MONDAY,17,Y,1,0.1047689085338665,,,XAP,Approved,-2360,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,700,Consumer electronics,6.0,high,POS household with interest,365243.0,-2329.0,-2179.0,-2179.0,-2172.0,0.0
2701306,261467,Cash loans,18552.69,229500.0,248130.0,,229500.0,SATURDAY,11,Y,1,,,,XNA,Approved,-483,Cash through the bank,XAP,,Refreshed,XNA,Cash,x-sell,Credit and cash offices,0,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-453.0,57.0,-423.0,-407.0,1.0
2762207,407402,Consumer loans,7613.055,141291.0,165910.5,0.0,141291.0,SATURDAY,11,Y,1,0.0,,,XAP,Approved,-1280,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Country-wide,1000,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-1249.0,-559.0,-559.0,-550.0,0.0
1495095,247780,Revolving loans,,0.0,0.0,,,WEDNESDAY,10,Y,1,,,,XAP,Canceled,-134,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
2143195,291302,Consumer loans,2945.79,13567.5,15930.0,0.0,13567.5,FRIDAY,5,Y,1,0.0,,,XAP,Approved,-512,XNA,XAP,,Repeater,Consumer Electronics,POS,XNA,Country-wide,193,Consumer electronics,6.0,middle,POS household with interest,365243.0,-481.0,-331.0,-331.0,-328.0,0.0
2533194,188840,Cash loans,22294.17,499500.0,558841.5,,499500.0,SATURDAY,13,Y,1,,,,XNA,Approved,-73,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low,365243.0,-43.0,1007.0,365243.0,365243.0,1.0
1624346,323987,Consumer loans,6335.91,61195.5,32211.0,30600.0,61195.5,WEDNESDAY,14,Y,1,0.5305787492347173,,,XAP,Approved,-1039,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Regional / Local,100,Consumer electronics,6.0,high,POS household with interest,365243.0,-1008.0,-858.0,-858.0,-853.0,0.0
1806553,395569,Consumer loans,,54805.5,54805.5,0.0,54805.5,SATURDAY,10,Y,1,0.0,,,XAP,Unused offer,-317,Cash through the bank,CLIENT,,Repeater,Mobile,XNA,XNA,Country-wide,50,Connectivity,,XNA,POS mobile with interest,,,,,,
2532038,122569,Cash loans,20979.0,450000.0,450000.0,,450000.0,THURSDAY,10,Y,1,,,,XNA,Approved,-246,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,48.0,middle,Cash X-Sell: middle,365243.0,-216.0,1194.0,-156.0,-152.0,0.0
1294726,349897,Cash loans,32287.5,450000.0,481185.0,,450000.0,TUESDAY,9,Y,1,,,,XNA,Approved,-549,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,low_normal,Cash X-Sell: low,365243.0,-519.0,-9.0,-369.0,-362.0,1.0
1731061,319479,Consumer loans,15229.53,82125.0,86188.5,0.0,82125.0,MONDAY,15,Y,1,0.0,,,XAP,Approved,-1570,Cash through the bank,XAP,Family,New,Furniture,POS,XNA,Stone,273,Furniture,6.0,low_normal,POS industry with interest,365243.0,-1538.0,-1388.0,-1388.0,-1382.0,0.0
1367919,298166,Consumer loans,5631.3,40455.0,50773.5,0.0,40455.0,TUESDAY,11,Y,1,0.0,,,XAP,Approved,-655,Cash through the bank,XAP,,New,Computers,POS,XNA,Regional / Local,200,Consumer electronics,12.0,high,POS household with interest,365243.0,-623.0,-293.0,-443.0,-440.0,0.0
2734250,374879,Cash loans,8555.085,45000.0,46485.0,,45000.0,MONDAY,14,Y,1,,,,XNA,Refused,-694,Cash through the bank,HC,,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),5,XNA,6.0,middle,Cash X-Sell: middle,,,,,,
2035732,399608,Consumer loans,3244.05,14985.0,15777.0,0.0,14985.0,MONDAY,8,Y,1,0.0,,,XAP,Approved,-627,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,642,Consumer electronics,6.0,high,POS household with interest,365243.0,-596.0,-446.0,-596.0,-592.0,0.0
1358574,281187,Consumer loans,7071.525,36090.0,37876.5,0.0,36090.0,WEDNESDAY,11,Y,1,0.0,,,XAP,Refused,-1386,XNA,SCO,,Repeater,Furniture,POS,XNA,Stone,58,Industry,6.0,middle,POS industry with interest,,,,,,
1661636,398631,Consumer loans,11700.945,70200.0,63180.0,7020.0,70200.0,WEDNESDAY,8,Y,1,0.1089090909090909,,,XAP,Approved,-1444,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Stone,60,Furniture,6.0,middle,POS industry with interest,365243.0,-1401.0,-1251.0,-1251.0,-1244.0,0.0
1900636,292245,Revolving loans,3375.0,0.0,67500.0,,,WEDNESDAY,13,Y,1,,,,XAP,Approved,-2717,XNA,XAP,,Repeater,XNA,Cards,x-sell,Country-wide,492,Consumer electronics,0.0,XNA,Card Street,-2716.0,-2666.0,365243.0,-1570.0,-833.0,0.0
2142447,229277,Consumer loans,15355.395,80280.0,84519.0,0.0,80280.0,SUNDAY,12,Y,1,0.0,,,XAP,Approved,-482,Cash through the bank,XAP,"Spouse, partner",Repeater,Auto Accessories,POS,XNA,Stone,50,Auto technology,6.0,middle,POS other with interest,365243.0,-452.0,-302.0,-302.0,-300.0,1.0
1685430,266029,Consumer loans,3106.35,14998.5,16186.5,0.0,14998.5,TUESDAY,11,Y,1,0.0,,,XAP,Approved,-116,XNA,XAP,,Repeater,Mobile,POS,XNA,Country-wide,60,Consumer electronics,6.0,middle,POS household with interest,365243.0,-85.0,65.0,365243.0,365243.0,0.0
1842617,238214,Cash loans,32051.7,1215000.0,1215000.0,,1215000.0,WEDNESDAY,12,Y,1,,,,XNA,Refused,-495,XNA,HC,,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,60.0,low_action,Cash X-Sell: low,,,,,,
1172421,121758,Cash loans,10518.75,382500.0,382500.0,,382500.0,SUNDAY,16,Y,1,,,,XNA,Refused,-886,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),2,XNA,60.0,low_normal,Cash X-Sell: low,,,,,,
2275400,331058,Cash loans,14379.48,135000.0,143910.0,,135000.0,THURSDAY,10,Y,1,,,,XNA,Approved,-1544,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-1514.0,-1184.0,-1184.0,-1177.0,1.0
1784593,291224,Consumer loans,5055.3,76455.0,62955.0,13500.0,76455.0,THURSDAY,12,Y,1,0.1923056343303546,,,XAP,Refused,-2112,Cash through the bank,HC,,Repeater,Mobile,POS,XNA,Country-wide,138,Connectivity,24.0,high,POS mobile with interest,,,,,,
1997596,390845,XNA,,0.0,0.0,,,WEDNESDAY,13,Y,1,,,,XAP,Canceled,-430,XNA,XAP,,Repeater,XNA,XNA,XNA,Country-wide,60,Connectivity,,XNA,,,,,,,
1519864,351214,Consumer loans,8168.22,42705.0,44959.5,0.0,42705.0,WEDNESDAY,5,Y,1,0.0,,,XAP,Approved,-381,XNA,XAP,,Repeater,Audio/Video,POS,XNA,Country-wide,138,Consumer electronics,6.0,middle,POS household with interest,365243.0,-350.0,-200.0,-200.0,-195.0,0.0
2483282,301211,Cash loans,,0.0,0.0,,,WEDNESDAY,13,Y,1,,,,XNA,Canceled,-258,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,0,XNA,,XNA,Cash,,,,,,
1851019,120203,Consumer loans,34046.91,369000.0,332100.0,36900.0,369000.0,SUNDAY,11,Y,1,0.1089090909090909,,,XAP,Approved,-457,Cash through the bank,XAP,Family,Repeater,Clothing and Accessories,POS,XNA,Stone,40,Clothing,12.0,middle,POS industry with interest,365243.0,-426.0,-96.0,-276.0,-268.0,0.0
2741620,380752,Consumer loans,3912.165,30105.0,29326.5,3015.0,30105.0,SUNDAY,15,Y,1,0.1015292763449157,,,XAP,Approved,-2611,XNA,XAP,,New,Mobile,POS,XNA,Stone,35,Connectivity,10.0,high,POS mobile with interest,365243.0,-2571.0,-2301.0,-2301.0,-2296.0,1.0
1439553,241036,Consumer loans,4868.145,93978.0,104607.0,0.0,93978.0,WEDNESDAY,16,Y,1,0.0,,,XAP,Approved,-739,Cash through the bank,XAP,"Spouse, partner",New,Consumer Electronics,POS,XNA,Country-wide,1655,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-707.0,-17.0,-17.0,-14.0,0.0
1995492,449949,Revolving loans,11250.0,225000.0,225000.0,,225000.0,THURSDAY,13,Y,1,,,,XAP,Approved,-496,XNA,XAP,,Repeater,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,-395.0,-330.0,365243.0,365243.0,365243.0,0.0
2240736,231916,Consumer loans,8959.05,195754.5,195754.5,0.0,195754.5,FRIDAY,18,Y,1,0.0,,,XAP,Approved,-1739,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,1500,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-1708.0,-1018.0,-1018.0,-1009.0,0.0
2505055,272844,Consumer loans,13031.055,96165.0,82008.0,19233.0,96165.0,SUNDAY,17,Y,1,0.2068972595543845,,,XAP,Approved,-1390,Cash through the bank,XAP,"Spouse, partner",Refreshed,Computers,POS,XNA,Stone,64,Consumer electronics,8.0,high,POS household with interest,365243.0,-1359.0,-1149.0,-1239.0,-1236.0,0.0
2639969,262487,Consumer loans,6548.49,60705.0,54630.0,6075.0,60705.0,SUNDAY,15,Y,1,0.1089898241121369,,,XAP,Approved,-874,Cash through the bank,XAP,,Refreshed,Mobile,POS,XNA,Country-wide,10,Connectivity,12.0,high,POS mobile with interest,365243.0,-837.0,-507.0,-507.0,-503.0,0.0
1857182,290284,Cash loans,11093.265,135000.0,148365.0,,135000.0,SATURDAY,13,Y,1,,,,XNA,Approved,-485,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-455.0,55.0,365243.0,365243.0,1.0
2790158,434756,Consumer loans,4095.45,71874.0,90427.5,0.0,71874.0,FRIDAY,10,Y,1,0.0,,,XAP,Approved,-834,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Country-wide,1108,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-803.0,-113.0,-113.0,-111.0,0.0
2740736,163273,Revolving loans,7875.0,157500.0,157500.0,0.0,157500.0,SATURDAY,12,Y,1,0.0,,,XAP,Canceled,-619,XNA,XAP,,New,XNA,Cards,walk-in,Country-wide,131,Connectivity,0.0,XNA,Card Street,,,,,,
1906422,222599,Consumer loans,3317.715,28184.175,27927.0,2925.675,28184.175,SUNDAY,17,Y,1,0.1032755197225052,,,XAP,Approved,-1082,Cash through the bank,XAP,,New,Mobile,POS,XNA,Country-wide,64,Connectivity,12.0,high,POS mobile with interest,365243.0,-1043.0,-713.0,-713.0,-703.0,0.0
2440859,353118,Cash loans,,0.0,0.0,,,SATURDAY,16,Y,1,,,,XNA,Canceled,-235,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1904575,111172,Cash loans,,0.0,0.0,,,FRIDAY,11,Y,1,,,,XNA,Canceled,-65,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1270948,291832,Consumer loans,8549.55,73575.0,84258.0,0.0,73575.0,WEDNESDAY,10,Y,1,0.0,,,XAP,Approved,-20,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,65,Auto technology,12.0,middle,POS other with interest,365243.0,365243.0,340.0,365243.0,365243.0,1.0
2112479,368655,Cash loans,19710.945,436500.0,496998.0,,436500.0,SATURDAY,10,Y,1,,,,XNA,Approved,-363,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,36.0,low_normal,Cash X-Sell: low,365243.0,-333.0,717.0,365243.0,365243.0,1.0
2251880,111229,Consumer loans,,67455.0,67455.0,0.0,67455.0,SATURDAY,12,Y,1,0.0,,,XAP,Refused,-619,Cash through the bank,LIMIT,,Repeater,Mobile,XNA,XNA,Country-wide,31,Connectivity,,XNA,POS mobile with interest,,,,,,
1037272,254433,Cash loans,,0.0,0.0,,,WEDNESDAY,14,Y,1,,,,XNA,Canceled,-313,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2188580,405410,Cash loans,22920.39,540000.0,646920.0,,540000.0,THURSDAY,7,Y,1,,,,XNA,Approved,-771,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60.0,middle,Cash X-Sell: middle,365243.0,-741.0,1029.0,-591.0,-586.0,1.0
2712710,319317,Consumer loans,5200.425,51525.0,51525.0,0.0,51525.0,THURSDAY,16,Y,1,0.0,0.1969001473421738,0.8673361522198731,XAP,Approved,-112,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,5,Connectivity,12.0,middle,POS mobile with interest,365243.0,-67.0,263.0,365243.0,365243.0,0.0
1800157,231196,Revolving loans,2250.0,45000.0,45000.0,,45000.0,TUESDAY,10,Y,1,,,,XAP,Approved,-247,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1846080,131245,Cash loans,21367.215,90000.0,104733.0,,90000.0,MONDAY,15,Y,1,,,,XNA,Approved,-1218,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high,365243.0,-1188.0,-1038.0,-1038.0,-1030.0,1.0
1703801,328408,Cash loans,40914.495,1350000.0,1546020.0,,1350000.0,MONDAY,15,Y,1,,,,XNA,Refused,-280,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60.0,low_action,Cash Street: low,,,,,,
1086135,237753,Revolving loans,45000.0,0.0,900000.0,,,WEDNESDAY,14,Y,1,,,,XAP,Approved,-576,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,-576.0,-527.0,365243.0,-221.0,365243.0,0.0
1621397,274861,Consumer loans,28230.975,157455.0,147883.5,15745.5,157455.0,WEDNESDAY,14,Y,1,0.1047997659894695,,,XAP,Approved,-1320,Cash through the bank,XAP,"Spouse, partner",New,Audio/Video,POS,XNA,Stone,76,Consumer electronics,6.0,middle,POS household with interest,365243.0,-1289.0,-1139.0,-1169.0,-1161.0,0.0
2300458,304957,Cash loans,12832.92,292500.0,357363.0,0.0,292500.0,WEDNESDAY,18,Y,1,0.0,,,Repairs,Approved,-1883,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,100,XNA,48.0,middle,Cash Street: middle,365243.0,-1852.0,-442.0,-1372.0,-1365.0,0.0
1146896,175622,Consumer loans,5511.24,64800.0,58320.0,6480.0,64800.0,MONDAY,12,Y,1,0.1089090909090909,,,XAP,Approved,-689,Non-cash from your account,XAP,Unaccompanied,Repeater,Furniture,POS,XNA,Stone,75,Furniture,12.0,low_normal,POS industry with interest,365243.0,-657.0,-327.0,-477.0,-473.0,0.0
1718561,118572,Cash loans,39083.4,1350000.0,1546020.0,,1350000.0,TUESDAY,5,Y,1,,,,XNA,Refused,-448,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60.0,low_action,Cash X-Sell: low,,,,,,
1932879,277911,Consumer loans,5076.9,49135.68,54000.0,0.18,49135.68,SUNDAY,17,Y,1,3.630290929333265e-06,,,XAP,Refused,-1500,Cash through the bank,HC,Other_B,Repeater,Consumer Electronics,POS,XNA,Country-wide,500,Consumer electronics,12.0,low_action,POS household without interest,,,,,,
2079590,280691,Consumer loans,16635.915,195705.0,176134.5,19570.5,195705.0,TUESDAY,13,Y,1,0.1089090909090909,,,XAP,Approved,-515,Cash through the bank,XAP,,Repeater,Clothing and Accessories,POS,XNA,Country-wide,200,Clothing,12.0,low_normal,POS industry with interest,365243.0,-484.0,-154.0,-424.0,-419.0,0.0
2677740,189242,Cash loans,33351.39,1147500.0,1314117.0,,1147500.0,MONDAY,10,Y,1,,,,XNA,Refused,-330,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,60.0,low_action,Cash X-Sell: low,,,,,,
1604436,368890,Consumer loans,19679.535,178699.5,174982.5,17869.5,178699.5,TUESDAY,12,Y,1,0.1009142243793167,,,XAP,Approved,-44,Cash through the bank,XAP,Family,Repeater,Construction Materials,POS,XNA,Stone,74625,Construction,10.0,low_normal,POS industry with interest,365243.0,-14.0,256.0,365243.0,365243.0,1.0
1895938,162867,Consumer loans,23100.345,191151.0,214488.0,0.0,191151.0,THURSDAY,15,Y,1,0.0,,,XAP,Approved,-84,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Country-wide,1500,Consumer electronics,12.0,middle,POS household with interest,365243.0,-54.0,276.0,365243.0,365243.0,1.0
1129160,422041,Consumer loans,10650.24,84078.0,91476.0,0.0,84078.0,MONDAY,11,Y,1,0.0,,,XAP,Approved,-1110,Cash through the bank,XAP,"Spouse, partner",New,Consumer Electronics,POS,XNA,Country-wide,1167,Consumer electronics,10.0,middle,POS household with interest,365243.0,-1079.0,-809.0,-959.0,-955.0,0.0
2010572,421340,Consumer loans,27130.995,272673.0,290668.5,0.0,272673.0,SATURDAY,17,Y,1,0.0,,,XAP,Approved,-824,Cash through the bank,XAP,Family,New,Audio/Video,POS,XNA,Country-wide,3205,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-793.0,-463.0,-493.0,-487.0,0.0
1811238,164928,Cash loans,16006.545,157500.0,173092.5,0.0,157500.0,SATURDAY,13,Y,1,0.0,,,Journey,Approved,-1734,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high,365243.0,-1704.0,-1194.0,-1194.0,-1168.0,1.0
1503071,159443,Cash loans,21830.22,180000.0,191880.0,,180000.0,FRIDAY,12,Y,1,,,,XNA,Refused,-1034,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,high,Cash X-Sell: high,,,,,,
2751713,375148,Consumer loans,9737.235,98536.95,82309.5,22500.45,98536.95,MONDAY,15,Y,1,0.2338044770124834,,,XAP,Approved,-2220,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,2000,Consumer electronics,10.0,middle,POS household with interest,365243.0,-2189.0,-1919.0,-2039.0,-2032.0,0.0
2528131,329228,Consumer loans,22348.035,182866.5,154647.0,36585.0,182866.5,WEDNESDAY,13,Y,1,0.2083562944961664,,,XAP,Approved,-415,Cash through the bank,XAP,,New,Consumer Electronics,POS,XNA,Country-wide,1000,Consumer electronics,8.0,middle,POS household with interest,365243.0,-384.0,-174.0,-234.0,-222.0,0.0
2153010,375522,Consumer loans,10299.96,95161.5,92709.0,9517.5,95161.5,WEDNESDAY,10,Y,1,0.1013966312773373,,,XAP,Approved,-1562,Cash through the bank,XAP,Unaccompanied,New,Furniture,POS,XNA,Stone,111,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-1529.0,-1259.0,-1259.0,-1250.0,0.0
1101883,429128,Consumer loans,2610.09,19975.5,19287.0,2250.0,19975.5,SUNDAY,12,Y,1,0.1137788246020589,,,XAP,Approved,-848,Cash through the bank,XAP,,New,Mobile,POS,XNA,Country-wide,45,Connectivity,10.0,high,POS mobile with interest,365243.0,-814.0,-544.0,-544.0,-540.0,0.0
1196254,147521,Cash loans,62530.245,1732500.0,1938321.0,,1732500.0,FRIDAY,10,Y,1,,,,XNA,Refused,-467,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,60.0,low_normal,Cash X-Sell: low,,,,,,
2013720,110411,Cash loans,16408.935,382500.0,453186.0,,382500.0,TUESDAY,17,Y,1,,,,XNA,Approved,-1224,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low,365243.0,-1194.0,216.0,-354.0,-351.0,1.0
2025300,455661,Revolving loans,4500.0,90000.0,90000.0,,90000.0,SATURDAY,15,Y,1,,,,XAP,Refused,-286,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
1897720,267124,Consumer loans,5300.865,45927.0,45423.0,4594.5,45927.0,THURSDAY,14,Y,1,0.1000415490941806,,,XAP,Approved,-2493,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Country-wide,40,Connectivity,12.0,low_normal,POS mobile with interest,365243.0,-2462.0,-2132.0,-2162.0,-2154.0,1.0
