SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1728654,109869,-87,10.0,7.0,Active,21,0
2248782,171632,-17,11.0,0.0,Completed,0,0
1450131,428420,-96,10.0,3.0,Active,0,0
1591846,198913,-7,42.0,14.0,Active,0,0
2821985,409418,-14,4.0,0.0,Completed,0,0
2318794,196371,-77,24.0,12.0,Active,0,0
1974881,303772,-18,12.0,4.0,Active,0,0
1679343,327907,-39,36.0,34.0,Active,0,0
2713958,311202,-8,24.0,12.0,Active,0,0
1749835,160108,-58,12.0,1.0,Active,0,0
2053848,133326,-81,10.0,1.0,Active,0,0
2461943,123983,-17,12.0,3.0,Active,0,0
2748682,208578,-45,12.0,7.0,Active,0,0
2090279,146648,-2,42.0,26.0,Active,0,0
1206382,380789,-2,18.0,8.0,Active,0,0
2447718,247811,-75,10.0,10.0,Active,0,0
1903269,328106,-12,60.0,59.0,Active,0,0
2206009,215170,-71,11.0,9.0,Active,0,0
1849962,412604,-52,24.0,24.0,Active,0,0
1006098,365412,-20,12.0,8.0,Active,0,0
2589118,308592,-50,12.0,5.0,Active,0,0
1777248,203419,-26,18.0,16.0,Active,0,0
2283704,358749,-26,18.0,2.0,Active,0,0
1132079,324083,-67,8.0,7.0,Active,0,0
1987300,277297,-67,10.0,10.0,Active,0,0
2762342,196752,-27,18.0,18.0,Active,0,0
1284927,122243,-52,6.0,3.0,Active,0,0
2642903,165826,-33,36.0,14.0,Active,0,0
1686366,295435,-78,9.0,3.0,Active,0,0
2597541,365179,-77,6.0,5.0,Active,0,0
1255047,310794,-4,12.0,2.0,Active,0,0
1887109,422158,-37,18.0,6.0,Active,0,0
2228731,401302,-29,10.0,9.0,Active,0,0
1593335,138660,-73,9.0,5.0,Active,0,0
1041716,113176,-21,12.0,9.0,Active,0,0
1383960,202461,-4,18.0,14.0,Active,0,0
1667393,290446,-54,8.0,5.0,Active,0,0
1938065,120701,-19,12.0,8.0,Active,0,0
2421469,309723,-15,12.0,0.0,Completed,0,0
2210981,236373,-23,42.0,39.0,Active,0,0
2446328,404735,-35,42.0,30.0,Active,0,0
1130936,156745,-40,6.0,3.0,Active,0,0
1736772,428914,-25,8.0,0.0,Completed,0,0
1285781,357062,-24,4.0,4.0,Active,0,0
2621690,354346,-43,24.0,18.0,Active,0,0
2586165,205457,-5,24.0,11.0,Active,0,0
2191713,171952,-11,12.0,8.0,Active,0,0
1236661,249744,-5,3.0,0.0,Completed,0,0
2133263,108372,-5,12.0,9.0,Active,0,0
1672913,173923,-91,10.0,9.0,Active,0,0
2055546,271801,-38,24.0,13.0,Active,0,0
1000019,176905,-74,12.0,9.0,Active,0,0
1800478,241427,-4,60.0,55.0,Active,0,0
1283027,307030,-9,10.0,10.0,Active,0,0
2128518,251157,-49,12.0,1.0,Active,0,0
1230351,210662,-8,12.0,0.0,Completed,0,0
1004185,277002,-42,10.0,3.0,Active,0,0
1630168,231468,-38,12.0,5.0,Active,0,0
1100404,363298,-8,30.0,13.0,Active,0,0
1012642,305850,-91,12.0,7.0,Active,0,0
1811962,175498,-32,18.0,18.0,Active,0,0
1825709,240317,-17,10.0,4.0,Active,0,0
1016982,145988,-42,18.0,17.0,Active,0,0
2174172,198047,-75,6.0,4.0,Active,0,0
2610065,239040,-46,18.0,14.0,Active,0,0
2295555,284277,-6,24.0,7.0,Active,0,0
2446426,131198,-23,1.0,0.0,Completed,0,0
2568250,233411,-2,18.0,4.0,Active,0,0
2683634,206464,-27,12.0,0.0,Completed,0,0
1132616,247787,-88,7.0,4.0,Active,0,0
1177017,260234,-47,12.0,2.0,Active,0,0
2397081,110201,-43,7.0,0.0,Completed,0,0
2447766,428673,-15,12.0,8.0,Active,0,0
1774545,422212,-71,12.0,11.0,Active,0,0
1550991,144479,-73,10.0,7.0,Active,0,0
1034953,283687,-60,10.0,5.0,Active,0,0
2200542,127358,-11,6.0,0.0,Completed,0,0
2749596,416801,-65,9.0,5.0,Active,0,0
2354712,237068,-6,30.0,21.0,Active,0,0
1423808,122176,-77,20.0,9.0,Active,0,0
1570481,153662,-5,12.0,8.0,Active,0,0
1509393,190891,-8,12.0,2.0,Active,0,0
1794739,157656,-84,24.0,18.0,Active,0,0
1141747,259860,-6,12.0,7.0,Active,0,0
2242140,177227,-5,42.0,12.0,Active,0,0
1893781,321200,-11,24.0,5.0,Active,0,0
1624881,315596,-12,30.0,29.0,Active,0,0
1711798,140134,-53,10.0,0.0,Completed,0,0
1665680,141267,-82,12.0,0.0,Completed,0,0
1381011,238024,-12,12.0,11.0,Active,0,0
1522885,214776,-51,18.0,3.0,Active,0,0
1487308,259297,-75,12.0,11.0,Active,0,0
2804866,380916,-43,48.0,44.0,Active,0,0
2272361,318062,-17,10.0,4.0,Active,0,0
1910196,315833,-44,6.0,6.0,Active,0,0
1839957,449633,-8,,,Signed,0,0
1078033,147687,-10,18.0,10.0,Active,0,0
1013019,177177,-49,15.0,1.0,Active,0,0
1409368,272105,-28,6.0,6.0,Active,0,0
1110946,184721,-27,18.0,7.0,Active,0,0
2283980,279474,-27,36.0,36.0,Active,0,0
1906419,390482,-68,6.0,5.0,Active,0,0
1643962,334573,-41,36.0,34.0,Active,0,0
2533474,365918,-52,10.0,0.0,Active,0,0
1656232,277756,-29,12.0,7.0,Active,0,0
1973295,383242,-93,10.0,8.0,Active,0,0
1306596,118867,-24,6.0,5.0,Active,0,0
1439716,435530,-10,12.0,6.0,Active,0,0
1414029,144811,-25,6.0,3.0,Active,0,0
1132194,245481,-43,24.0,21.0,Active,0,0
1169032,204736,-21,12.0,4.0,Active,0,0
1532499,132046,-66,18.0,15.0,Active,0,0
1025049,152813,-77,10.0,10.0,Active,0,0
1005691,160010,-29,24.0,18.0,Active,0,0
2238773,344096,-24,18.0,8.0,Active,0,0
1159723,284236,-2,18.0,13.0,Active,0,0
1964174,272541,-30,30.0,29.0,Active,0,0
1710976,137692,-12,11.0,7.0,Active,0,0
1248963,319523,-48,6.0,1.0,Active,4,4
1004128,186516,-16,6.0,4.0,Active,0,0
1077493,349443,-18,6.0,5.0,Active,0,0
2780517,455412,-52,6.0,6.0,Active,0,0
2010938,314025,-52,24.0,8.0,Active,0,0
1448227,354687,-14,36.0,31.0,Active,0,0
1620094,394793,-83,4.0,2.0,Active,0,0
1384232,381827,-15,6.0,2.0,Active,0,0
1121431,328721,-47,14.0,4.0,Active,0,0
1897459,292247,-16,5.0,0.0,Completed,0,0
1008068,343824,-78,6.0,0.0,Completed,0,0
1263582,152195,-37,48.0,44.0,Active,0,0
1237078,114467,-83,10.0,0.0,Completed,0,0
1919760,153738,-11,10.0,2.0,Active,0,0
1365273,172208,-92,7.0,0.0,Completed,0,0
2087730,319605,-54,12.0,12.0,Signed,0,0
1060910,294240,-53,5.0,5.0,Active,0,0
1255044,109778,-11,48.0,40.0,Active,0,0
2224669,221377,-3,12.0,3.0,Active,0,0
1337077,274922,-34,24.0,23.0,Active,0,0
2333043,405816,-51,6.0,5.0,Active,0,0
1067685,437918,-31,10.0,5.0,Active,0,0
2802935,340397,-46,6.0,1.0,Active,0,0
1261355,414674,-13,36.0,24.0,Active,0,0
1310305,427585,-76,6.0,2.0,Active,0,0
1251992,400024,-78,12.0,10.0,Active,0,0
2283991,357806,-33,24.0,23.0,Active,0,0
2317619,441718,-54,8.0,8.0,Active,0,0
1058662,326232,-80,6.0,4.0,Active,0,0
1430065,171774,-5,12.0,12.0,Active,0,0
2581939,192490,-49,48.0,41.0,Active,0,0
2408900,353999,-36,12.0,9.0,Active,0,0
2561854,295990,-72,16.0,7.0,Active,0,0
2345071,148891,-64,10.0,1.0,Active,0,0
1520441,417894,-71,10.0,8.0,Active,0,0
2167215,335392,-12,48.0,46.0,Active,0,0
2596442,160727,-48,24.0,0.0,Active,0,0
1086133,156088,-36,18.0,18.0,Active,0,0
2396879,320019,-33,12.0,12.0,Active,0,0
1181503,166773,-4,12.0,3.0,Active,0,0
1538694,362659,-70,10.0,0.0,Completed,0,0
1131709,123465,-65,6.0,2.0,Active,0,0
2714400,132125,-39,12.0,9.0,Active,0,0
1989924,449112,-55,12.0,0.0,Completed,0,0
2333441,417695,-14,24.0,23.0,Active,0,0
1347729,272596,-73,10.0,4.0,Active,0,0
2600132,194321,-14,10.0,8.0,Active,0,0
2253026,389113,-12,18.0,1.0,Active,0,0
1280145,205685,-29,24.0,5.0,Active,0,0
1652582,415713,-7,12.0,12.0,Active,0,0
1787189,199660,-43,16.0,0.0,Completed,0,0
2484281,190718,-16,24.0,24.0,Active,0,0
1130392,360412,-17,12.0,8.0,Active,0,0
1092490,143317,-21,12.0,3.0,Active,0,0
1730538,373692,-8,12.0,8.0,Active,0,0
1059297,335418,-80,12.0,7.0,Active,0,0
2622034,173645,-10,36.0,22.0,Active,0,0
1903603,334451,-36,5.0,5.0,Active,0,0
1488637,180247,-3,24.0,11.0,Active,0,0
2190730,283087,-92,20.0,13.0,Active,0,0
2119814,292694,-24,12.0,8.0,Active,0,0
2579809,260973,-40,18.0,6.0,Active,0,0
2672346,394034,-31,7.0,0.0,Completed,0,0
2134047,326851,-81,4.0,3.0,Active,0,0
2029603,294748,-43,10.0,3.0,Active,0,0
2535906,380371,-62,6.0,4.0,Active,0,0
2014657,452390,-21,36.0,23.0,Active,0,0
2304247,319884,-13,24.0,16.0,Active,0,0
2594249,220427,-26,2.0,0.0,Completed,0,0
2102489,155658,-38,24.0,21.0,Active,0,0
2487618,225062,-28,12.0,10.0,Active,0,0
2306110,337715,-30,4.0,0.0,Active,0,0
2709275,145839,-61,10.0,1.0,Active,0,0
2030252,166918,-5,6.0,3.0,Active,0,0
1693579,174867,-12,18.0,8.0,Active,0,0
2597046,444506,-87,10.0,1.0,Active,0,0
2156741,102982,-38,10.0,1.0,Active,0,0
2759827,321489,-54,48.0,24.0,Active,0,0
1746302,105973,-27,8.0,3.0,Active,0,0
2770014,140967,-13,36.0,28.0,Active,0,0
2463349,229673,-91,10.0,7.0,Active,0,0
2039114,441037,-36,12.0,11.0,Active,0,0
1622092,353619,-28,12.0,0.0,Completed,0,0
1999034,303792,-21,42.0,42.0,Active,0,0
1776658,167524,-7,36.0,17.0,Active,0,0
1980859,297321,-45,8.0,5.0,Active,0,0
2374008,142019,-19,6.0,3.0,Active,0,0
1087249,376102,-13,12.0,12.0,Active,0,0
2546454,340232,-33,10.0,0.0,Completed,0,0
1955535,237670,-71,10.0,10.0,Active,0,0
1785370,378061,-81,11.0,5.0,Active,0,0
1258955,235093,-12,10.0,5.0,Active,0,0
1377879,346448,-37,12.0,10.0,Active,0,0
1006343,156240,-16,24.0,6.0,Active,0,0
2259304,351324,-46,10.0,6.0,Active,0,0
1239624,422314,-81,10.0,4.0,Active,6,0
2113211,118687,-15,24.0,3.0,Active,0,0
2228898,227429,-47,10.0,7.0,Active,0,0
2479880,320311,-4,12.0,8.0,Active,0,0
2526096,403376,-22,12.0,0.0,Completed,1585,0
1900523,368443,-4,18.0,9.0,Active,0,0
2702192,156893,-8,24.0,6.0,Active,0,0
1417107,427835,-15,10.0,2.0,Active,0,0
1605285,309021,-36,10.0,5.0,Active,0,0
1373518,395038,-37,12.0,2.0,Active,0,0
1516934,361555,-46,12.0,10.0,Active,0,0
2813733,319250,-35,10.0,7.0,Active,0,0
2517552,114804,-76,11.0,1.0,Active,0,0
1865625,367061,-14,12.0,4.0,Active,0,0
2111105,112134,-36,24.0,23.0,Active,0,0
2303917,296580,-74,24.0,15.0,Active,1,1
2260747,418178,-28,42.0,34.0,Active,0,0
2621925,138783,-52,12.0,1.0,Active,0,0
1974160,343669,-42,10.0,6.0,Active,0,0
1508928,453163,-56,12.0,7.0,Active,0,0
1889803,100384,-85,9.0,5.0,Active,19,19
2564612,229967,-39,10.0,4.0,Active,0,0
1055316,338284,-74,24.0,12.0,Active,0,0
1198459,164781,-64,12.0,2.0,Active,0,0
2235388,384069,-16,11.0,8.0,Active,0,0
2782128,201946,-18,12.0,11.0,Active,0,0
1347104,216547,-9,48.0,30.0,Active,0,0
1431063,147151,-61,7.0,6.0,Active,0,0
1420806,249536,-82,18.0,0.0,Completed,0,0
1473585,333202,-34,30.0,25.0,Active,0,0
2262226,288762,-36,10.0,0.0,Completed,0,0
1941241,193676,-80,10.0,3.0,Active,0,0
2669616,298430,-46,18.0,10.0,Active,0,0
1496480,427231,-43,24.0,20.0,Active,0,0
2762012,295527,-78,10.0,10.0,Active,0,0
1711235,360215,-28,6.0,6.0,Active,0,0
2437105,210066,-6,42.0,8.0,Active,0,0
2117123,316391,-16,12.0,6.0,Active,0,0
2768237,372060,-61,8.0,7.0,Active,0,0
1643782,168591,-18,6.0,0.0,Active,0,0
1959546,186177,-12,24.0,19.0,Active,0,0
2715227,422297,-40,6.0,4.0,Active,0,0
2608732,243657,-11,60.0,42.0,Active,0,0
2633762,409384,-70,6.0,5.0,Active,0,0
2360667,175919,-52,6.0,5.0,Active,0,0
2805778,435989,-14,24.0,17.0,Active,0,0
1257002,425877,-2,24.0,19.0,Active,0,0
1034980,362176,-84,20.0,8.0,Active,0,0
1307144,355032,-3,24.0,11.0,Active,0,0
1424175,131465,-11,36.0,17.0,Active,0,0
1800570,355505,-72,12.0,9.0,Active,0,0
1480172,454984,-74,4.0,3.0,Active,0,0
1449814,212250,-28,12.0,10.0,Active,0,0
1446766,133098,-31,12.0,7.0,Active,0,0
1171204,152119,-14,12.0,9.0,Active,0,0
2319738,422572,-51,10.0,0.0,Completed,0,0
2822288,396164,-70,8.0,0.0,Active,0,0
2173839,100585,-32,48.0,43.0,Active,0,0
2227060,154038,-55,6.0,0.0,Completed,0,0
2730296,161366,-89,8.0,0.0,Active,0,0
1213791,307151,-6,24.0,15.0,Active,0,0
1377269,428214,-37,12.0,12.0,Signed,0,0
1570715,272002,-13,24.0,6.0,Active,0,0
1412004,162231,-53,12.0,1.0,Active,0,0
2438683,314438,-11,6.0,5.0,Active,0,0
2277677,256435,-57,12.0,9.0,Active,0,0
2682053,399916,-55,6.0,0.0,Completed,0,0
2082314,179734,-12,10.0,10.0,Active,0,0
1560807,196800,-75,10.0,4.0,Active,0,0
2585603,382821,-24,36.0,20.0,Active,0,0
1738686,354872,-15,24.0,24.0,Active,0,0
2672217,313884,-21,6.0,0.0,Completed,0,0
2155281,442080,-3,18.0,5.0,Active,0,0
2492782,298455,-19,30.0,27.0,Active,0,0
1231498,167761,-88,6.0,6.0,Active,0,0
2547385,175384,-6,1.0,0.0,Completed,0,0
1411024,421609,-25,18.0,12.0,Active,0,0
2632484,211590,-24,24.0,22.0,Active,0,0
1210966,418411,-19,24.0,23.0,Active,0,0
2754849,112352,-17,9.0,0.0,Active,0,0
2057916,210515,-14,18.0,17.0,Active,0,0
1060451,162515,-27,36.0,26.0,Active,0,0
2227661,189239,-3,60.0,54.0,Active,0,0
2404135,204010,-20,12.0,8.0,Active,0,0
2508184,294666,-6,12.0,10.0,Active,0,0
1864865,265756,-3,12.0,1.0,Active,0,0
2220642,310654,-8,18.0,9.0,Active,0,0
1915683,285749,-68,12.0,5.0,Active,0,0
1259049,312273,-36,6.0,1.0,Active,0,0
2424884,407934,-38,60.0,47.0,Active,0,0
1449095,417668,-15,6.0,5.0,Active,0,0
1467354,338428,-65,12.0,4.0,Active,0,0
1575949,263480,-86,12.0,8.0,Active,0,0
1852748,310090,-23,30.0,22.0,Active,0,0
2310586,251915,-9,10.0,4.0,Active,0,0
1088282,340238,-10,12.0,12.0,Active,0,0
1911223,163042,-29,10.0,7.0,Active,0,0
1570579,450663,-35,10.0,5.0,Active,0,0
1160379,445497,-2,24.0,20.0,Active,0,0
1849263,379317,-57,6.0,0.0,Completed,0,0
1370197,423665,-4,24.0,17.0,Active,0,0
2439610,226107,-93,10.0,3.0,Active,0,0
1540785,119619,-53,12.0,2.0,Active,0,0
1395435,369393,-47,12.0,5.0,Active,0,0
2731360,220619,-23,24.0,22.0,Active,0,0
2060158,112869,-49,7.0,6.0,Active,0,0
2000663,259361,-12,24.0,20.0,Active,0,0
1776261,166107,-93,22.0,22.0,Active,0,0
1383462,182414,-21,24.0,1.0,Active,0,0
2283485,418086,-20,36.0,35.0,Active,0,0
2835623,302254,-87,10.0,10.0,Active,0,0
2474836,388718,-5,6.0,2.0,Active,0,0
1532937,396158,-68,6.0,4.0,Active,0,0
1004513,273175,-54,12.0,6.0,Active,0,0
2208702,430459,-20,36.0,21.0,Active,0,0
1009531,439696,-22,6.0,5.0,Active,0,0
2048829,324385,-8,12.0,10.0,Active,0,0
1666246,282469,-38,42.0,41.0,Active,0,0
2249191,354598,-50,12.0,11.0,Active,0,0
2345636,432001,-35,6.0,0.0,Completed,0,0
2718697,371201,-76,8.0,1.0,Active,10,0
1798177,116284,-21,36.0,14.0,Active,0,0
2183955,225422,-11,12.0,9.0,Active,0,0
2693598,308732,-14,12.0,12.0,Active,0,0
1043015,290479,-27,12.0,5.0,Active,0,0
1105647,405036,-65,8.0,3.0,Active,0,0
1029648,117739,-9,24.0,18.0,Active,0,0
2110155,204184,-17,10.0,2.0,Active,0,0
2049847,439377,-74,6.0,0.0,Completed,0,0
2658951,323908,-20,12.0,8.0,Active,0,0
1396424,300205,-52,12.0,12.0,Signed,0,0
1295985,327766,-21,24.0,13.0,Active,0,0
2646600,368018,-70,12.0,10.0,Active,0,0
2243464,100050,-13,24.0,21.0,Active,0,0
1365042,419154,-8,24.0,8.0,Active,0,0
2569992,417331,-61,6.0,0.0,Active,519,0
2518634,220446,-7,12.0,9.0,Active,0,0
2082319,271447,-25,24.0,12.0,Active,0,0
1037554,419891,-52,12.0,8.0,Active,0,0
1289046,139419,-30,18.0,1.0,Active,0,0
1981125,396788,-7,10.0,5.0,Active,0,0
2728395,245324,-12,12.0,9.0,Active,0,0
1237927,440631,-25,12.0,11.0,Active,0,0
2216578,170363,-23,12.0,12.0,Active,0,0
1267006,283333,-27,12.0,3.0,Active,0,0
2707103,210381,-12,12.0,0.0,Completed,0,0
2607827,282623,-82,10.0,3.0,Active,0,0
1818716,170748,-91,8.0,0.0,Completed,0,0
2583410,281174,-5,60.0,58.0,Active,0,0
2077415,196230,-39,24.0,18.0,Active,0,0
2247013,264196,-27,12.0,6.0,Active,0,0
1186070,160021,-86,4.0,4.0,Active,0,0
2409912,327910,-82,12.0,2.0,Active,1,1
1591087,300465,-43,6.0,3.0,Active,0,0
1515657,316967,-1,18.0,0.0,Completed,0,0
1412255,412727,-93,24.0,24.0,Active,0,0
1804313,215177,-4,24.0,7.0,Active,0,0
2258855,170684,-21,24.0,12.0,Active,0,0
1324157,376524,-6,10.0,8.0,Active,0,0
2160887,222695,-8,10.0,3.0,Active,0,0
2208216,280810,-2,8.0,0.0,Completed,0,0
2190186,130529,-90,12.0,11.0,Active,0,0
1384014,425409,-32,24.0,4.0,Active,0,0
1959195,105722,-28,42.0,38.0,Active,0,0
1243706,413822,-19,12.0,8.0,Active,0,0
2411165,260622,-72,6.0,5.0,Active,0,0
2598304,430084,-21,12.0,9.0,Active,0,0
2538705,128617,-69,12.0,0.0,Active,0,0
2664349,276806,-4,12.0,3.0,Active,0,0
1950057,111673,-31,10.0,6.0,Active,0,0
2291432,416869,-12,60.0,57.0,Active,0,0
1667841,153380,-11,24.0,23.0,Active,0,0
2556977,124526,-11,12.0,3.0,Active,0,0
2800245,148136,-67,12.0,11.0,Active,0,0
2394064,142266,-18,12.0,7.0,Active,0,0
1412147,270953,-72,10.0,6.0,Active,0,0
1459608,408422,-19,6.0,6.0,Active,0,0
2211199,160570,-21,36.0,31.0,Active,0,0
2138602,292126,-34,12.0,5.0,Active,0,0
1287424,401640,-31,24.0,19.0,Active,0,0
2225263,159819,-7,6.0,0.0,Completed,0,0
1437779,212650,-22,48.0,24.0,Active,2,2
2023565,297398,-17,24.0,19.0,Active,0,0
1234762,209751,-29,24.0,10.0,Active,23,23
1003553,321931,-14,6.0,2.0,Active,0,0
2030433,180107,-1,18.0,4.0,Active,0,0
1545293,139295,-29,7.0,0.0,Completed,0,0
1131555,291858,-62,5.0,1.0,Active,0,0
1367525,318527,-9,49.0,34.0,Active,0,0
1221368,146981,-23,24.0,5.0,Active,0,0
1205604,170994,-70,12.0,7.0,Active,0,0
1256395,302542,-90,6.0,5.0,Active,0,0
1547358,334868,-55,24.0,21.0,Active,0,0
2395391,190157,-36,18.0,17.0,Active,0,0
1459839,268475,-48,10.0,8.0,Active,0,0
1824409,436709,-34,18.0,14.0,Active,0,0
1720460,136899,-10,24.0,24.0,Active,0,0
1810420,162858,-20,18.0,14.0,Active,0,0
1460407,422449,-77,10.0,7.0,Active,0,0
1481684,349613,-23,12.0,2.0,Active,0,0
2391744,448092,-3,18.0,5.0,Active,0,0
2703891,364451,-12,10.0,9.0,Active,0,0
2797508,147206,-31,12.0,11.0,Active,0,0
2789552,352332,-16,24.0,12.0,Active,0,0
1127800,172835,-5,12.0,8.0,Active,0,0
2505214,194134,-71,10.0,9.0,Active,0,0
2741176,153373,-39,12.0,11.0,Active,0,0
2083627,419860,-25,30.0,26.0,Active,0,0
2730337,255792,-1,24.0,17.0,Active,0,0
2070026,152126,-12,48.0,47.0,Active,0,0
2288043,248571,-35,8.0,8.0,Active,0,0
1887867,150840,-58,11.0,3.0,Active,0,0
1208958,222999,-16,60.0,43.0,Active,0,0
1984512,391010,-66,7.0,1.0,Active,0,0
1806037,338375,-41,24.0,13.0,Active,0,0
1660039,341530,-6,24.0,8.0,Active,0,0
2726075,456079,-17,24.0,20.0,Active,0,0
2691231,444481,-11,24.0,21.0,Active,0,0
2332808,352677,-62,12.0,0.0,Active,0,0
1843216,263000,-16,30.0,29.0,Active,0,0
1183904,246946,-83,10.0,10.0,Active,0,0
1109342,424534,-30,24.0,19.0,Active,0,0
1719049,350389,-19,12.0,11.0,Active,0,0
1626252,265523,-37,30.0,23.0,Active,0,0
2198659,391312,-62,6.0,0.0,Active,4,4
2647506,179966,-12,36.0,5.0,Active,0,0
1102057,166593,-44,12.0,7.0,Active,0,0
1382704,439622,-79,10.0,5.0,Active,0,0
1848396,199577,-10,18.0,16.0,Active,0,0
2728109,192725,-32,6.0,0.0,Completed,0,0
1556271,432396,-81,6.0,6.0,Active,0,0
2007284,344904,-36,12.0,6.0,Active,0,0
2211419,136114,-26,18.0,17.0,Active,0,0
1025178,223682,-2,60.0,50.0,Active,0,0
1339136,101352,-50,24.0,24.0,Active,0,0
1201361,249561,-3,60.0,53.0,Active,0,0
1259746,331750,-4,6.0,0.0,Active,0,0
2503035,253844,-21,24.0,21.0,Active,0,0
2742283,343183,-78,24.0,23.0,Active,0,0
1954295,328545,-31,10.0,8.0,Active,0,0
1412994,174477,-6,36.0,6.0,Active,0,0
2662676,195076,-6,10.0,4.0,Active,0,0
1233298,164380,-27,12.0,10.0,Active,0,0
1800572,271513,-51,10.0,2.0,Active,0,0
2362093,437531,-77,5.0,2.0,Active,0,0
1516852,229602,-5,6.0,0.0,Active,0,0
1366852,309785,-58,10.0,6.0,Active,0,0
1692591,183368,-21,12.0,8.0,Active,0,0
1486582,423761,-24,6.0,2.0,Active,0,0
1931473,153778,-33,12.0,9.0,Active,0,0
2362803,203908,-81,9.0,3.0,Active,0,0
1871435,224016,-12,24.0,8.0,Active,0,0
1766912,381540,-1,6.0,1.0,Active,0,0
2445263,281688,-8,18.0,6.0,Active,0,0
1520807,116305,-8,12.0,12.0,Active,0,0
2559277,323582,-5,42.0,19.0,Active,0,0
1618048,185932,-21,36.0,33.0,Active,0,0
2068000,230947,-3,6.0,0.0,Completed,0,0
1620247,243100,-31,24.0,17.0,Active,0,0
1256269,113150,-48,18.0,18.0,Signed,0,0
